Date,url,code,Company,Description
2011/05/19,3lm.com,3LM,3LM,"3LM stands for the Three Laws Of Mobility, which serve as the guiding principles of our company: (1) Protect your user; (2) Protect yourself; (3) Obey. 3LM is dedicated to enabling enterprise-grade security on Android devices.  We are a wholly-owned but independently managed subsidiary of Motorola Mobility.  Through partnerships with major handset manufacturers, 3LM makes Android devices secure for enterprise use. "
2011/10/05,3lm.com,3LM,3LM,"3LM stands for the Three Laws Of Mobility, which serve as the guiding principles of our company: (1) Protect your user; (2) Protect yourself; (3) Obey. 3LM is dedicated to enabling enterprise-grade security on Android devices.  We are a wholly-owned but independently managed subsidiary of Motorola Mobility.  Through partnerships with major handset manufacturers, 3LM makes Android devices secure for enterprise use. "
2012/02/29,3lm.com,3LM,3LM,"3LM stands for the Three Laws Of Mobility, which serve as the guiding principles of our company: (1) Protect your user; (2) Protect yourself; (3) Obey. 3LM is dedicated to enabling enterprise-grade security on Android devices.  We are a wholly-owned but independently managed subsidiary of Motorola Mobility.  Through partnerships with major handset manufacturers, 3LM makes Android devices secure for enterprise use. "
2012/06/26,3lm.com,3LM,3LM,"3LM stands for the Three Laws Of Mobility, which serve as the guiding principles of our company: (1) Protect your user; (2) Protect yourself; (3) Obey. 3LM is dedicated to enabling enterprise-grade security on Android devices.  We are a wholly-owned but independently managed subsidiary of Motorola Mobility.  Through partnerships with major handset manufacturers, 3LM makes Android devices secure for enterprise use. "
2015/11/10,99cloud.net,99cloud  ,99cloud  ,"OpenStack service and productor provider to financial institution, government sectors and large enterprises in china. "
2016/03/17,99cloud.net,99cloud  ,99cloud  ,"OpenStack service and productor provider to financial institution, government sectors and large enterprises in china. "
2016/09/11,99cloud.net,99cloud  ,99cloud  ,"OpenStack service and productor provider to financial institution, government sectors and large enterprises in china. "
2014/07/17,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2015/02/17,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2015/11/10,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2016/03/17,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2016/09/11,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2017/03/11,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2017/11/14,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2018/02/11,a9.com,A9 ,A9 ,"A9. com, a technology subsidiary of Amazon. com, is looking for highly motivated and talented Ph. D. , Master’s and exceptional Bachelor’s students interested in improving the quality of Amazon's product search, cloud search, visual search and advertising technologies.  At A9, you'll work in a small-company environment, but will have access to the resources of Amazon. com, one of the world's leading Internet companies. "
2011/05/19,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2011/10/05,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2012/02/29,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2012/06/26,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2013/05/09,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2014/07/17,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2015/02/17,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2015/11/10,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2016/03/17,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
